CAMS,Computer Age Management Services Limited,EQ,10
CANBK,Canara Bank,EQ,10
CANTABIL,Cantabil Retail India Limited,EQ,10
CAPACITE,Capacit'e Infraprojects Limited,EQ,10
CAPTRUST,Capital Trust Limited,EQ,10
CAREERP,Career Point Limited,EQ,10
CARERATING,CARE Ratings Limited,EQ,10
CARTRADE,Cartrade Tech Limited,EQ,10
CDSL,Central Depository Services (India) Limited,EQ,10
CEATLTD,CEAT Limited,EQ,10
CELEBRITY,Celebrity Fashions Limited,EQ,10
CENTENKA,Century Enka Limited,EQ,10
CENTRALBK,Central Bank of India,EQ,10
CENTUM,Centum Electronics Limited,EQ,10
CENTURYTEX,Century Textiles & Industries Limited,EQ,10
CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,10
CHALET,Chalet Hotels Limited,EQ,10
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,10
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,10
CHEMFAB,Chemfab Alkalis Limited,EQ,10
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,10
CHEVIOT,Cheviot Company Limited,EQ,10
CHOICEIN,Choice International Limited,EQ,10
CIGNITITEC,Cigniti Technologies Limited,EQ,10
CLNINDIA,Clariant Chemicals (India) Limited,EQ,10
CMICABLES,CMI Limited,BE,10
CMSINFO,CMS Info Systems Limited,EQ,10
COALINDIA,Coal India Limited,EQ,10
COASTCORP,Coastal Corporation Limited,EQ,10
COCHINSHIP,Cochin Shipyard Limited,EQ,10
COFFEEDAY,Coffee Day Enterprises Limited,EQ,10
COFORGE,Coforge Limited,EQ,10
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,10
CONTROLPR,Control Print Limited,EQ,10
CORDSCABLE,Cords Cable Industries Limited,EQ,10
COSMOFIRST,COSMO FIRST LIMITED,EQ,10
CREATIVE,Creative Newtech Limited,EQ,10
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,10
CREST,Crest Ventures Limited,EQ,10
CROWN,Crown Lifters Limited,BE,10
CSBBANK,CSB Bank Limited,EQ,10
CSLFINANCE,CSL Finance Limited,EQ,10
CTE,Cambridge Technology Enterprises Limited,EQ,10
CUBEXTUB,Cubex Tubings Limited,EQ,10
CUPID,Cupid Limited,EQ,10
CYBERMEDIA,Cyber Media (India) Limited,EQ,10
CYBERTECH,Cybertech Systems And Software Limited,EQ,10
DBCORP,D.B.Corp Limited,EQ,10
DBL,Dilip Buildcon Limited,EQ,10
DBOL,Dhampur Bio Organics Limited,EQ,10
DBREALTY,D B Realty Limited,EQ,10
DCBBANK,DCB Bank Limited,EQ,10
DCI,Dc Infotech And Communication Limited,BE,10
DCM,DCM  Limited,EQ,10
DCMFINSERV,DCM Financial Services Limited,EQ,10
DCMNVL,DCM Nouvelle Limited,EQ,10
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,10
DEEPENR,DEEP ENERGY RESOURCES LIMITED,EQ,10
DEEPINDS,Deep Industries Limited,EQ,10
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,10
DELTAMAGNT,Delta Manufacturing Limited,EQ,10
DEN,Den Networks Limited,EQ,10
DENORA,De Nora India Limited,EQ,10
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,10
DHANBANK,Dhanlaxmi Bank Limited,EQ,10
DHARMAJ,Dharmaj Crop Guard Limited,EQ,10
DHARSUGAR,Dharani Sugars&Chemicals Limited,BZ,10
DHRUV,Dhruv Consultancy Services Limited,EQ,10
DHUNINV,Dhunseri Investments Limited,EQ,10
DICIND,DIC India Limited,EQ,10
DIGJAMLMTD,Digjam Limited,BE,10
DIL,Debock Industries Limited,EQ,10
DJML,DJ Mediaprint & Logistics Limited,EQ,10
DMART,Avenue Supermarts Limited,EQ,10
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,10
DODLA,Dodla Dairy Limited,EQ,10
DPABHUSHAN,D. P. Abhushan Limited,EQ,10
DPWIRES,D P Wires Limited,EQ,10
DREDGECORP,Dredging Corporation of India Limited,EQ,10
DSSL,Dynacons Systems & Solutions Limited,EQ,10
DTIL,Dhunseri Tea & Industries Limited,EQ,10
DVL,Dhunseri Ventures Limited,EQ,10
DYCL,Dynamic Cables Limited,EQ,10
DYNAMATECH,Dynamatic Technologies Limited,EQ,10
DYNPRO,Dynemic Products Limited,EQ,10
E2E,E2E Networks Limited,EQ,10
ECLERX,eClerx Services Limited,EQ,10
EIFFL,Euro India Fresh Foods Limited,EQ,10
EIHAHOTELS,EIH Associated Hotels Limited,EQ,10
EIMCOELECO,Eimco Elecon (India) Limited,EQ,10
ELECTHERM,Electrotherm (India) Limited,EQ,10
EMIL,Electronics Mart India Limited,EQ,10
EMKAY,Emkay Global Financial Services Limited,EQ,10
EMMBI,Emmbi Industries Limited,EQ,10
ENDURANCE,Endurance Technologies Limited,EQ,10
ENERGYDEV,Energy Development Company Limited,EQ,10
ENIL,Entertainment Network (India) Limited,EQ,10
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,10
EROSMEDIA,Eros International Media Limited,EQ,10
ESABINDIA,Esab India Limited,EQ,10
ESCORTS,Escorts Kubota Limited,EQ,10
ESSARSHPNG,Essar Shipping Limited,EQ,10
ETHOSLTD,Ethos Limited,EQ,10
EVERESTIND,Everest Industries Limited,EQ,10
EXPLEOSOL,Expleo Solutions Limited,EQ,10
EXXARO,Exxaro Tiles Limited,EQ,10
FACT,Fertilizers and Chemicals Travancore Limited,EQ,10
FAIRCHEMOR,Fairchem Organics Limited,EQ,10
FAZE3Q,Faze Three Limited,EQ,10
FCONSUMER,Future Consumer Limited,EQ,6
FIBERWEB,Fiberweb (India) Limited,EQ,10
FIEMIND,Fiem Industries Limited,EQ,10
FINOPB,Fino Payments Bank Limited,EQ,10
FLEXITUFF,Flexituff Ventures International Limited,BE,10
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,10
FMNL,Future Market Networks Limited,EQ,10
FOCUS,Focus Lighting and Fixtures Limited,EQ,10
FORCEMOT,FORCE MOTORS LTD,EQ,10
FORTIS,Fortis Healthcare Limited,EQ,10
